Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,ust_id,mfpn,mpn,sim.pins,sim.device,sim.type,i2c,height,mouser part number,mouser price/stock,manufacturer_name,manufacturer_part_number
14,Fuse,Fuse,F1F2,Fuse,Fuseholder_Littelfuse_Nano2_154x,2,~,5c70984512875079b91f88d8,,,,,,,,,,,
15,1x04 2.54 mm pitch header,HEADER_1x04,J3,HEADER_1x04,PinHeader_1x04_P2.54mm_Horizontal,1,,,,,,,,,,,,,
16,2x03 2.54 mm pitch header,HEADER_2x03,J2,HEADER_2x03,PinHeader_2x03_P2.54mm_Vertical,1,,,,,,,,,,,,,
17,USB 2.0-only Type-C Receptacle connector,USBC_USB4105-GF-A,J1,USBC_USB4105-GF-A,USBC GCT_USB4105-GF-A,1,,5fa0f94612875025b397795e,USB4105-GF-A,USB4105-GF-A,,,,,,,,,
18,Inductor,L,L1L2,1uH - DFE252012P-1R0M=P2,L_1008_2520Metric,2,~,650b5977462c6d9e72054656,,,,,,,,,,,
19,"PNP transistor, base/emitter/collector",Q_PNP_BEC,Q2Q3,BC807-25,SOT-23-3,2,~,5c70984712875079b91f8aeb,,,1=C 2=B 3=E,NPN,GUMMELPOON,,,,,,
20,"P-MOSFET transistor, gate/source/drain",Q_PMOS_GSD,Q1,BSS83P,SOT-23,1,~,5c70984712875079b91f8ae6,,,,,,,,,,,
21,"N-MOSFET transistor, gate/drain/source",Q_NMOS_GDS,Q4Q5,SI2302A-TP,SOT-23-3,2,~,,,,,,,,,,,,
22,"Resistor, small symbol",R_Small,R17R18R19R20R24,68R,R_0805_2012Metric,5,~,5c70984512875079b91f8975,,,,,,,,,,,
23,"Resistor, small symbol",R_Small,R1R4,100R,R_0805_2012Metric,2,~,5c70984512875079b91f8977,,,,,,,,,,,
24,"Resistor, small symbol",R_Small,R11R13R14R15R16R23,270R,R_0805_2012Metric,6,~,5c70984512875079b91f8983,,,,,,,,,,,
25,"Resistor, small symbol",R_Small,R25,330,R_0805_2012Metric,1,~,,,,,,,,,,,,
26,"Resistor, small symbol",R_Small,R10,510R,R_0805_2012Metric,1,~,5c70984512875079b91f8988,,,,,,,,,,,
27,"Resistor, small symbol",R_Small,R12R21R22,1k,R_0805_2012Metric,3,~,5c70984512875079b91f898c,,,,,,,,,,,
28,"Resistor, small symbol",R_Small,R27,2k2,R_0805_2012Metric,1,~,,,,,,,,,,,,
29,"Resistor, small symbol",R_Small,R7,2k4,R_0805_2012Metric,1,~,5c70984612875079b91f8991,,,,,,,,,,,
30,"Resistor, small symbol",R_Small,R30R31,4k7,R_0805_2012Metric,2,~,5c70984512875079b91f898c,,,,,,,,,,,
31,"Resistor, small symbol",R_Small,R2R3R5,5k1,R_0805_2012Metric,3,~,5fa0fc3e12875025b3977997,,,,,,,,,,,
32,"Resistor, small symbol",R_Small,R6,33k,R_0805_2012Metric,1,~,5c70984712875079b91f8a8a,,,,,,,,,,,
33,"Resistor, small symbol",R_Small,R9,91k,R_0805_2012Metric,1,~,5c70984712875079b91f8a95,,,,,,,,,,,
34,"Resistor, small symbol",R_Small,R8,511k,R_0805_2012Metric,1,~,650b5a43462c6d9e7205468e,,,,,,,,,,,
35,"Resistor, small symbol",R_Small,R26,0R01 75PPM,R_2512_6332Metric,1,~,5c70984712875079b91f8abf,,,,,,,,,,,
36,"Push button switch, generic, two pins",SW_Push_shield,SW1,SKRTLAE010,SKRT,1,~,,,,,,,,,,,,
37,Temperature dependent resistor,Thermistor,TH1,10k NTC,R_0805_2012Metric,1,~,5c70984712875079b91f8ac5,,,,,,,,,,,
38,"Temperature dependent resistor, negative temperature coefficient",Thermistor_NTC,TH2,10k NTC,R_0805_2012Metric,1,~,5c70984712875079b91f8ac5,,,,,,,,,,,
39,"BQ25628E I2C Controlled 1-Cell, 2-A, Maximum 18-V Input, Buck Battery Charger withNVDC Power Path Management",BQ25628E,U2,BQ25628E,Texas_S-WQFN-HR-18,1,https://www.ti.com/lit/ds/symlink/bq25628e.pdf,65481a71462c6d9e72056aa4,,,,,,0x6B,,,,,
40,Voltage and Current Protection for Single-Cell Li-Ion and Li-Polymer Batteries,BQ297xy,U5,BQ29700DSER,WSON-6_1.5x1.5mm_P0.5mm,1,http://www.ti.com/lit/ds/symlink/bq2970.pdf,,,,,,,,,,,,
41,,BQ34Z100,U1,BQ34Z100,TSSOP-14_4.4x5mm_Pitch0.65mm,1,https://www.ti.com/lit/ds/symlink/bq34z100-g1.pdf,5c70984612875079b91f89c3,,,,,,0xAA,"1,2",,,,
42,,SN74HC164D,U4,SN74HC164P,TSSOP-14_4.4x5mm_P0.65mm,1,https://www.ti.com/lit/ds/symlink/sn74hc164.pdf,6559399f95a79cc5ac40a0a6,,,,,,,,,,,
43,"Switching Voltage Regulators 1.5-A output current, high power density buck-boost converter",TPS631000DRLR,U3,TPS631000DRLR,SOT-583-8,1,https://www.ti.com/lit/ds/symlink/tps631000.pdf?ts=1652152702265,63de5ae4ae0b2d5aa05e2714,,,,,,,0.5,595-TPS631000DRLR,https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TPS631000DRLR?qs=rSMjJ%252B1ewcRYwoN2deTeNA%3D%3D,Texas Instruments,TPS631000DRLR
